,Race_result_Pos,Race_result_No,Driver,Race_result_Car,Race_result_Laps,Race_result_Time/Retired,Race_result_PTS,Fastest_laps_Pos,Fastest_laps_No,Fastest_laps_Car,Fastest_laps_Lap,Fastest_laps_Time_of_day,Fastest_laps_Time,Fastest_laps_Avg_Speed,Pit_stop_summary_Stops,Pit_stop_summary_No,Pit_stop_summary_Car,Pit_stop_summary_Lap,Pit_stop_summary_Time_of_day,Pit_stop_summary_Time,Pit_stop_summary_Total,Starting_grid_Pos,Starting_grid_No,Starting_grid_Car,Starting_grid_Time,Qualifying_Pos,Qualifying_No,Qualifying_Car,Qualifying_Q1,Qualifying_Q2,Qualifying_Q3,Qualifying_Laps,Practice_3_Pos,Practice_3_No,Practice_3_Car,Practice_3_Time,Practice_3_Gap,Practice_3_Laps,Practice_2_Pos,Practice_2_No,Practice_2_Car,Practice_2_Time,Practice_2_Gap,Practice_2_Laps,Practice_1_Pos,Practice_1_No,Practice_1_Car,Practice_1_Time,Practice_1_Gap,Practice_1_Laps,location,year,Pit_stop_summary_Pos,Pit_stop_summary_Avg_Speed
2116,9,77,Valtteri Bottas BOT,Williams Mercedes,43,+61.040s,2,10,77,Williams Mercedes,23,14:53:12,1:54.646,219.932,1,77,Williams Mercedes,8,14:22:46,23.319,23.319,3,77,Williams Mercedes,1:48.537,3,77,Williams Mercedes,1:49.026,1:49.044,1:48.537,19,9,77,Williams Mercedes,1:50.179,+1.195s,15,14,77,Williams Mercedes,1:51.250,+1.865s,25,10,77,Williams Mercedes,1:52.511,+1.429s,19,Belgium,2015,,
2117,9,77,Valtteri Bottas BOT,Williams Mercedes,43,+61.040s,2,10,77,Williams Mercedes,23,14:53:12,1:54.646,219.932,2,77,Williams Mercedes,15,14:36:40,17.343,40.662,3,77,Williams Mercedes,1:48.537,3,77,Williams Mercedes,1:49.026,1:49.044,1:48.537,19,9,77,Williams Mercedes,1:50.179,+1.195s,15,14,77,Williams Mercedes,1:51.250,+1.865s,25,10,77,Williams Mercedes,1:52.511,+1.429s,19,Belgium,2015,,
2118,9,77,Valtteri Bottas BOT,Williams Mercedes,43,+61.040s,2,10,77,Williams Mercedes,23,14:53:12,1:54.646,219.932,3,77,Williams Mercedes,21,14:49:04,23.489,1:04.151,3,77,Williams Mercedes,1:48.537,3,77,Williams Mercedes,1:49.026,1:49.044,1:48.537,19,9,77,Williams Mercedes,1:50.179,+1.195s,15,14,77,Williams Mercedes,1:51.250,+1.865s,25,10,77,Williams Mercedes,1:52.511,+1.429s,19,Belgium,2015,,
2119,10,9,Marcus Ericsson ERI,Sauber Ferrari,43,+91.234s,1,7,9,Sauber Ferrari,30,15:07:11,1:54.022,221.136,1,9,Sauber Ferrari,9,14:24:54,24.183,24.183,13,9,Sauber Ferrari,1:49.586,13,9,Sauber Ferrari,1:49.523,1:49.586,,12,15,9,Sauber Ferrari,1:51.054,+2.070s,20,8,9,Sauber Ferrari,1:50.709,+1.324s,18,15,9,Sauber Ferrari,1:53.426,+2.344s,16,Belgium,2015,,
2120,10,9,Marcus Ericsson ERI,Sauber Ferrari,43,+91.234s,1,7,9,Sauber Ferrari,30,15:07:11,1:54.022,221.136,2,9,Sauber Ferrari,28,15:03:02,23.684,47.867,13,9,Sauber Ferrari,1:49.586,13,9,Sauber Ferrari,1:49.523,1:49.586,,12,15,9,Sauber Ferrari,1:51.054,+2.070s,20,8,9,Sauber Ferrari,1:50.709,+1.324s,18,15,9,Sauber Ferrari,1:53.426,+2.344s,16,Belgium,2015,,
2121,11,12,Felipe Nasr NAS,Sauber Ferrari,43,+102.311s,0,6,12,Sauber Ferrari,29,15:05:20,1:53.991,221.196,1,12,Sauber Ferrari,10,14:27:06,23.439,23.439,14,12,Sauber Ferrari,1:49.952,16,12,Sauber Ferrari,1:49.952,,,6,14,12,Sauber Ferrari,1:50.690,+1.706s,17,9,12,Sauber Ferrari,1:50.928,+1.543s,24,13,12,Sauber Ferrari,1:52.640,+1.558s,16,Belgium,2015,,
2122,11,12,Felipe Nasr NAS,Sauber Ferrari,43,+102.311s,0,6,12,Sauber Ferrari,29,15:05:20,1:53.991,221.196,2,12,Sauber Ferrari,27,15:01:15,23.288,46.727,14,12,Sauber Ferrari,1:49.952,16,12,Sauber Ferrari,1:49.952,,,6,14,12,Sauber Ferrari,1:50.690,+1.706s,17,9,12,Sauber Ferrari,1:50.928,+1.543s,24,13,12,Sauber Ferrari,1:52.640,+1.558s,16,Belgium,2015,,
2123,12,5,Sebastian Vettel VET,Ferrari,42,DNF,0,14,5,Ferrari,29,15:04:15,1:55.316,218.654,1,5,Ferrari,14,14:34:26,22.681,22.681,8,5,Ferrari,1:48.825,9,5,Ferrari,1:49.264,1:48.761,1:48.825,17,3,5,Ferrari,1:49.629,+0.645s,17,10,5,Ferrari,1:50.940,+1.555s,23,5,5,Ferrari,1:51.866,+0.784s,21,Belgium,2015,,
2124,13,14,Fernando Alonso ALO,McLaren Honda,42,+1 lap,0,5,14,McLaren Honda,34,15:15:19,1:53.692,221.778,1,14,McLaren Honda,8,14:23:03,22.973,22.973,20,14,McLaren Honda,1:51.420,18,14,McLaren Honda,1:51.420,,,6,20,14,McLaren Honda,,,1,18,14,McLaren Honda,1:52.570,+3.185s,14,16,14,McLaren Honda,1:53.502,+2.420s,15,Belgium,2015,,
2125,13,14,Fernando Alonso ALO,McLaren Honda,42,+1 lap,0,5,14,McLaren Honda,34,15:15:19,1:53.692,221.778,2,14,McLaren Honda,20,14:47:07,26.103,49.076,20,14,McLaren Honda,1:51.420,18,14,McLaren Honda,1:51.420,,,6,20,14,McLaren Honda,,,1,18,14,McLaren Honda,1:52.570,+3.185s,14,16,14,McLaren Honda,1:53.502,+2.420s,15,Belgium,2015,,
2126,13,14,Fernando Alonso ALO,McLaren Honda,42,+1 lap,0,5,14,McLaren Honda,34,15:15:19,1:53.692,221.778,3,14,McLaren Honda,32,15:11:10,23.191,1:12.267,20,14,McLaren Honda,1:51.420,18,14,McLaren Honda,1:51.420,,,6,20,14,McLaren Honda,,,1,18,14,McLaren Honda,1:52.570,+3.185s,14,16,14,McLaren Honda,1:53.502,+2.420s,15,Belgium,2015,,
2127,14,22,Jenson Button BUT,McLaren Honda,42,+1 lap,0,15,22,McLaren Honda,38,15:23:48,1:55.533,218.244,1,22,McLaren Honda,11,14:29:15,24.083,24.083,19,22,McLaren Honda,1:50.978,17,22,McLaren Honda,1:50.978,,,6,17,22,McLaren Honda,1:51.981,+2.997s,12,17,22,McLaren Honda,1:51.854,+2.469s,16,18,22,McLaren Honda,1:54.225,+3.143s,14,Belgium,2015,,
2128,14,22,Jenson Button BUT,McLaren Honda,42,+1 lap,0,15,22,McLaren Honda,38,15:23:48,1:55.533,218.244,2,22,McLaren Honda,20,14:47:33,24.151,48.234,19,22,McLaren Honda,1:50.978,17,22,McLaren Honda,1:50.978,,,6,17,22,McLaren Honda,1:51.981,+2.997s,12,17,22,McLaren Honda,1:51.854,+2.469s,16,18,22,McLaren Honda,1:54.225,+3.143s,14,Belgium,2015,,
2129,14,22,Jenson Button BUT,McLaren Honda,42,+1 lap,0,15,22,McLaren Honda,38,15:23:48,1:55.533,218.244,3,22,McLaren Honda,35,15:17:42,23.761,1:11.995,19,22,McLaren Honda,1:50.978,17,22,McLaren Honda,1:50.978,,,6,17,22,McLaren Honda,1:51.981,+2.997s,12,17,22,McLaren Honda,1:51.854,+2.469s,16,18,22,McLaren Honda,1:54.225,+3.143s,14,Belgium,2015,,
2130,15,98,Roberto Merhi MER,Marussia Ferrari,42,+1 lap,0,18,98,Marussia Ferrari,32,15:12:29,1:58.174,213.366,1,98,Marussia Ferrari,15,14:37:29,23.643,23.643,17,98,Marussia Ferrari,1:53.099,20,98,Marussia Ferrari,1:53.099,,,7,19,98,Marussia Ferrari,1:54.281,+5.297s,9,20,98,Marussia Ferrari,1:54.253,+4.868s,14,20,98,Marussia Ferrari,1:56.086,+5.004s,17,Belgium,2015,,
2131,15,98,Roberto Merhi MER,Marussia Ferrari,42,+1 lap,0,18,98,Marussia Ferrari,32,15:12:29,1:58.174,213.366,2,98,Marussia Ferrari,29,15:06:14,23.282,46.925,17,98,Marussia Ferrari,1:53.099,20,98,Marussia Ferrari,1:53.099,,,7,19,98,Marussia Ferrari,1:54.281,+5.297s,9,20,98,Marussia Ferrari,1:54.253,+4.868s,14,20,98,Marussia Ferrari,1:56.086,+5.004s,17,Belgium,2015,,
2132,16,28,Will Stevens STE,Marussia Ferrari,42,+1 lap,0,17,28,Marussia Ferrari,33,15:14:36,1:58.150,213.410,1,28,Marussia Ferrari,16,14:39:34,23.826,23.826,15,28,Marussia Ferrari,1:52.948,19,28,Marussia Ferrari,1:52.948,,,6,18,28,Marussia Ferrari,1:54.262,+5.278s,16,19,28,Marussia Ferrari,1:54.065,+4.680s,17,19,28,Marussia Ferrari,1:55.501,+4.419s,16,Belgium,2015,,
2133,16,28,Will Stevens STE,Marussia Ferrari,42,+1 lap,0,17,28,Marussia Ferrari,33,15:14:36,1:58.150,213.410,2,28,Marussia Ferrari,30,15:08:20,24.450,48.276,15,28,Marussia Ferrari,1:52.948,19,28,Marussia Ferrari,1:52.948,,,6,18,28,Marussia Ferrari,1:54.262,+5.278s,16,19,28,Marussia Ferrari,1:54.065,+4.680s,17,19,28,Marussia Ferrari,1:55.501,+4.419s,16,Belgium,2015,,
2134,NC,55,Carlos Sainz SAI,STR Renault,32,DNF,0,11,55,STR Renault,25,15:01:15,1:54.680,219.867,1,55,STR Renault,5,14:20:58,23.732,23.732,10,55,STR Renault,1:49.771,10,55,STR Renault,1:49.109,1:49.065,1:49.771,12,11,55,STR Renault,1:50.552,+1.568s,20,12,55,STR Renault,1:51.037,+1.652s,24,8,55,STR Renault,1:52.421,+1.339s,26,Belgium,2015,,
2135,NC,55,Carlos Sainz SAI,STR Renault,32,DNF,0,11,55,STR Renault,25,15:01:15,1:54.680,219.867,2,55,STR Renault,23,14:57:07,23.348,47.080,10,55,STR Renault,1:49.771,10,55,STR Renault,1:49.109,1:49.065,1:49.771,12,11,55,STR Renault,1:50.552,+1.568s,20,12,55,STR Renault,1:51.037,+1.652s,24,8,55,STR Renault,1:52.421,+1.339s,26,Belgium,2015,,
2136,NC,3,Daniel Ricciardo RIC,Red Bull Racing Renault,19,DNF,0,16,3,Red Bull Racing Renault,2,14:10:55,1:56.263,216.873,1,3,Red Bull Racing Renault,7,14:20:39,22.637,22.637,5,3,Red Bull Racing Renault,1:48.639,6,3,Red Bull Racing Renault,1:49.664,1:49.042,1:48.639,17,6,3,Red Bull Racing Renault,1:49.930,+0.946s,20,3,3,Red Bull Racing Renault,1:50.136,+0.751s,15,3,3,Red Bull Racing Renault,1:51.373,+0.291s,18,Belgium,2015,,
2137,NC,13,Pastor Maldonado MAL,Lotus Mercedes,2,DNF,0,,,,,,,,,,,,,,,7,13,Lotus Mercedes,1:48.754,8,13,Lotus Mercedes,1:49.568,1:48.956,1:48.754,17,12,13,Lotus Mercedes,1:50.585,+1.601s,17,15,13,Lotus Mercedes,1:51.317,+1.932s,16,11,13,Lotus Mercedes,1:52.539,+1.457s,15,Belgium,2015,,
2138,NC,27,Nico Hulkenberg HUL,Force India Mercedes,0,DNS,0,,,,,,,,,,,,,,,11,27,Force India Mercedes,1:49.121,11,27,Force India Mercedes,1:49.499,1:49.121,,12,8,27,Force India Mercedes,1:50.000,+1.016s,15,6,27,Force India Mercedes,1:50.461,+1.076s,21,12,27,Force India Mercedes,1:52.614,+1.532s,20,Belgium,2015,,
2139,,,Jolyon Palmer PAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,30,Lotus Mercedes,1:53.799,+2.717s,23,Belgium,2015,,
2140,1,44,Lewis Hamilton HAM,Mercedes,53,1:18:00.688,25,1,44,Mercedes,48,15:14:03,1:26.672,240.617,1,44,Mercedes,26,14:41:34,24.368,24.368,1,44,Mercedes,1:23.397,1,44,Mercedes,1:24.251,1:23.383,1:23.397,15,1,44,Mercedes,1:24.544,,18,1,44,Mercedes,1:24.279,,27,1,44,Mercedes,1:24.670,,25,Italy,2015,,
2141,2,5,Sebastian Vettel VET,Ferrari,53,+25.042s,18,3,5,Ferrari,52,15:20:17,1:27.376,238.678,1,5,Ferrari,25,14:40:24,24.340,24.340,3,5,Ferrari,1:23.685,3,5,Ferrari,1:24.989,1:23.577,1:23.685,20,2,5,Ferrari,1:24.808,+0.264s,12,3,5,Ferrari,1:25.038,+0.759s,36,3,5,Ferrari,1:26.258,+1.588s,17,Italy,2015,,
2142,3,19,Felipe Massa MAS,Williams Mercedes,53,+47.635s,15,8,19,Williams Mercedes,31,14:49:45,1:27.874,237.326,1,19,Williams Mercedes,19,14:31:39,25.207,25.207,5,19,Williams Mercedes,1:23.940,5,19,Williams Mercedes,1:25.184,1:23.983,1:23.940,19,5,19,Williams Mercedes,1:25.165,+0.621s,14,10,19,Williams Mercedes,1:25.891,+1.612s,31,8,19,Williams Mercedes,1:26.936,+2.266s,22,Italy,2015,,
2143,4,77,Valtteri Bottas BOT,Williams Mercedes,53,+47.996s,12,6,77,Williams Mercedes,49,15:16:14,1:27.525,238.272,1,77,Williams Mercedes,22,14:36:10,25.536,25.536,6,77,Williams Mercedes,1:24.127,6,77,Williams Mercedes,1:24.979,1:24.313,1:24.127,17,4,77,Williams Mercedes,1:24.946,+0.402s,14,9,77,Williams Mercedes,1:25.647,+1.368s,34,9,77,Williams Mercedes,1:27.075,+2.405s,25,Italy,2015,,
2144,5,7,Kimi Räikkönen RAI,Ferrari,53,+68.860s,10,7,7,Ferrari,43,15:07:47,1:27.584,238.111,1,7,Ferrari,28,14:45:20,24.442,24.442,2,7,Ferrari,1:23.631,2,7,Ferrari,1:24.662,1:23.757,1:23.631,17,7,7,Ferrari,1:25.244,+0.700s,13,6,7,Ferrari,1:25.380,+1.101s,39,6,7,Ferrari,1:26.783,+2.113s,16,Italy,2015,,
2145,6,11,Sergio Perez PER,Force India Mercedes,53,+72.783s,8,10,11,Force India Mercedes,46,15:12:10,1:28.140,236.609,1,11,Force India Mercedes,23,14:37:46,24.281,24.281,7,11,Force India Mercedes,1:24.626,7,11,Force India Mercedes,1:24.801,1:24.379,1:24.626,19,8,11,Force India Mercedes,1:25.515,+0.971s,14,4,11,Force India Mercedes,1:25.278,+0.999s,34,5,11,Force India Mercedes,1:26.730,+2.060s,29,Italy,2015,,
2146,7,27,Nico Hulkenberg HUL,Force India Mercedes,52,+1 lap,6,14,27,Force India Mercedes,36,14:57:35,1:28.913,234.552,1,27,Force India Mercedes,18,14:30:23,24.286,24.286,9,27,Force India Mercedes,1:25.317,9,27,Force India Mercedes,1:24.937,1:24.510,1:25.317,18,12,27,Force India Mercedes,1:26.141,+1.597s,13,5,27,Force India Mercedes,1:25.325,+1.046s,43,4,27,Force India Mercedes,1:26.612,+1.942s,19,Italy,2015,,
2147,8,3,Daniel Ricciardo RIC,Red Bull Racing Renault,52,+1 lap,4,9,3,Red Bull Racing Renault,50,15:18:27,1:28.065,236.811,1,3,Red Bull Racing Renault,30,14:48:35,24.259,24.259,19,3,Red Bull Racing Renault,,15,3,Red Bull Racing Renault,1:25.633,,,3,20,3,Red Bull Racing Renault,1:29.900,+5.356s,7,13,3,Red Bull Racing Renault,1:26.222,+1.943s,27,7,3,Red Bull Racing Renault,1:26.922,+2.252s,27,Italy,2015,,
2148,9,9,Marcus Ericsson ERI,Sauber Ferrari,52,+1 lap,2,12,9,Sauber Ferrari,22,14:36:48,1:28.516,235.604,1,9,Sauber Ferrari,20,14:33:26,24.842,24.842,12,9,Sauber Ferrari,1:26.214,10,9,Sauber Ferrari,1:25.122,1:24.457,1:26.214,20,9,9,Sauber Ferrari,1:25.692,+1.148s,17,12,9,Sauber Ferrari,1:26.133,+1.854s,32,13,9,Sauber Ferrari,1:27.454,+2.784s,17,Italy,2015,,
2149,10,26,Daniil Kvyat KVY,Red Bull Racing Renault,52,+1 lap,1,11,26,Red Bull Racing Renault,39,15:02:18,1:28.231,236.365,1,26,Red Bull Racing Renault,27,14:44:11,23.884,23.884,18,26,Red Bull Racing Renault,1:25.796,14,26,Red Bull Racing Renault,1:25.742,1:25.796,,11,17,26,Red Bull Racing Renault,1:28.591,+4.047s,10,20,26,Red Bull Racing Renault,1:28.723,+4.444s,28,12,26,Red Bull Racing Renault,1:27.275,+2.605s,29,Italy,2015,,
2150,11,55,Carlos Sainz SAI,STR Renault,52,+1 lap,0,5,55,STR Renault,38,15:01:01,1:27.510,238.313,1,55,STR Renault,10,14:18:38,30.358,30.358,17,55,STR Renault,1:25.618,13,55,STR Renault,1:25.410,1:25.618,,10,18,55,STR Renault,1:28.628,+4.084s,23,15,55,STR Renault,1:26.641,+2.362s,50,16,55,STR Renault,1:27.907,+3.237s,8,Italy,2015,,
2151,11,55,Carlos Sainz SAI,STR Renault,52,+1 lap,0,5,55,STR Renault,38,15:01:01,1:27.510,238.313,2,55,STR Renault,30,14:48:54,24.736,55.094,17,55,STR Renault,1:25.618,13,55,STR Renault,1:25.410,1:25.618,,10,18,55,STR Renault,1:28.628,+4.084s,23,15,55,STR Renault,1:26.641,+2.362s,50,16,55,STR Renault,1:27.907,+3.237s,8,Italy,2015,,
2152,12,33,Max Verstappen VER,STR Renault,52,+1 lap,0,4,33,STR Renault,35,14:56:53,1:27.390,238.640,1,33,STR Renault,1,14:05:02,18.818,18.818,20,33,STR Renault,,NC,33,STR Renault,DNS,,,1,16,33,STR Renault,1:28.215,+3.671s,25,14,33,STR Renault,1:26.454,+2.175s,38,14,33,STR Renault,1:27.591,+2.921s,27,Italy,2015,,
2153,12,33,Max Verstappen VER,STR Renault,52,+1 lap,0,4,33,STR Renault,35,14:56:53,1:27.390,238.640,2,33,STR Renault,19,14:32:19,25.318,44.136,20,33,STR Renault,,NC,33,STR Renault,DNS,,,1,16,33,STR Renault,1:28.215,+3.671s,25,14,33,STR Renault,1:26.454,+2.175s,38,14,33,STR Renault,1:27.591,+2.921s,27,Italy,2015,,
2154,12,33,Max Verstappen VER,STR Renault,52,+1 lap,0,4,33,STR Renault,35,14:56:53,1:27.390,238.640,3,33,STR Renault,33,14:53:32,24.938,1:09.074,20,33,STR Renault,,NC,33,STR Renault,DNS,,,1,16,33,STR Renault,1:28.215,+3.671s,25,14,33,STR Renault,1:26.454,+2.175s,38,14,33,STR Renault,1:27.591,+2.921s,27,Italy,2015,,
2155,13,12,Felipe Nasr NAS,Sauber Ferrari,52,+1 lap,0,13,12,Sauber Ferrari,51,15:20:42,1:28.653,235.240,1,12,Sauber Ferrari,1,14:05:00,25.761,25.761,11,12,Sauber Ferrari,1:24.898,12,12,Sauber Ferrari,1:25.121,1:24.898,,15,11,12,Sauber Ferrari,1:25.912,+1.368s,17,11,12,Sauber Ferrari,1:26.114,+1.835s,30,11,12,Sauber Ferrari,1:27.232,+2.562s,21,Italy,2015,,
2156,13,12,Felipe Nasr NAS,Sauber Ferrari,52,+1 lap,0,13,12,Sauber Ferrari,51,15:20:42,1:28.653,235.240,2,12,Sauber Ferrari,24,14:40:02,25.282,51.043,11,12,Sauber Ferrari,1:24.898,12,12,Sauber Ferrari,1:25.121,1:24.898,,15,11,12,Sauber Ferrari,1:25.912,+1.368s,17,11,12,Sauber Ferrari,1:26.114,+1.835s,30,11,12,Sauber Ferrari,1:27.232,+2.562s,21,Italy,2015,,
2157,14,22,Jenson Button BUT,McLaren Honda,52,+1 lap,0,16,22,McLaren Honda,33,14:53:57,1:29.766,232.324,1,22,McLaren Honda,25,14:41:32,24.310,24.310,15,22,McLaren Honda,1:26.058,16,22,McLaren Honda,1:26.058,,,7,14,22,McLaren Honda,1:26.750,+2.206s,14,19,22,McLaren Honda,1:28.471,+4.192s,3,18,22,McLaren Honda,1:28.423,+3.753s,12,Italy,2015,,
2158,15,28,Will Stevens STE,Marussia Ferrari,51,+2 laps,0,17,28,Marussia Ferrari,51,15:22:23,1:31.098,228.927,1,28,Marussia Ferrari,26,14:43:37,29.382,29.382,13,28,Marussia Ferrari,1:27.731,18,28,Marussia Ferrari,1:27.731,,,9,15,28,Marussia Ferrari,1:28.123,+3.579s,13,17,28,Marussia Ferrari,1:28.201,+3.922s,29,19,28,Marussia Ferrari,1:29.853,+5.183s,22,Italy,2015,,
2159,16,98,Roberto Merhi MER,Marussia Ferrari,51,+2 laps,0,18,98,Marussia Ferrari,29,14:48:50,1:31.311,228.393,1,98,Marussia Ferrari,27,14:45:21,26.435,26.435,14,98,Marussia Ferrari,1:27.912,19,98,Marussia Ferrari,1:27.912,,,9,19,98,Marussia Ferrari,1:29.117,+4.573s,11,18,98,Marussia Ferrari,1:28.439,+4.160s,27,20,98,Marussia Ferrari,1:29.911,+5.241s,12,Italy,2015,,
2160,17,6,Nico Rosberg ROS,Mercedes,50,DNF,0,2,6,Mercedes,43,15:07:12,1:27.067,239.525,1,6,Mercedes,18,14:30:11,24.657,24.657,4,6,Mercedes,1:23.703,4,6,Mercedes,1:24.609,1:23.864,1:23.703,19,3,6,Mercedes,1:24.843,+0.299s,19,2,6,Mercedes,1:24.300,+0.021s,35,2,6,Mercedes,1:25.133,+0.463s,22,Italy,2015,,
2161,18,14,Fernando Alonso ALO,McLaren Honda,47,DNF,0,15,14,McLaren Honda,42,15:07:35,1:29.285,233.575,1,14,McLaren Honda,28,14:46:15,24.330,24.330,16,14,McLaren Honda,1:26.154,17,14,McLaren Honda,1:26.154,,,7,13,14,McLaren Honda,1:26.632,+2.088s,9,16,14,McLaren Honda,1:26.966,+2.687s,31,17,14,McLaren Honda,1:28.023,+3.353s,11,Italy,2015,,
2162,18,14,Fernando Alonso ALO,McLaren Honda,47,DNF,0,15,14,McLaren Honda,42,15:07:35,1:29.285,233.575,2,14,McLaren Honda,46,15:13:37,19.374,43.704,16,14,McLaren Honda,1:26.154,17,14,McLaren Honda,1:26.154,,,7,13,14,McLaren Honda,1:26.632,+2.088s,9,16,14,McLaren Honda,1:26.966,+2.687s,31,17,14,McLaren Honda,1:28.023,+3.353s,11,Italy,2015,,
2163,NC,8,Romain Grosjean GRO,Lotus Mercedes,1,DNF,0,,,,,,,,,,,,,,,8,8,Lotus Mercedes,1:25.054,8,8,Lotus Mercedes,1:25.144,1:24.448,1:25.054,19,10,8,Lotus Mercedes,1:25.747,+1.203s,8,7,8,Lotus Mercedes,1:25.497,+1.218s,41,,,,,,,Italy,2015,,
2164,NC,13,Pastor Maldonado MAL,Lotus Mercedes,1,DNF,0,,,,,,,,,,,,,,,10,13,Lotus Mercedes,1:24.525,11,13,Lotus Mercedes,1:25.429,1:24.525,,16,6,13,Lotus Mercedes,1:25.242,+0.698s,11,8,13,Lotus Mercedes,1:25.513,+1.234s,41,10,13,Lotus Mercedes,1:27.118,+2.448s,28,Italy,2015,,
2165,,,Jolyon Palmer PAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,30,Lotus Mercedes,1:27.669,+2.999s,28,Italy,2015,,
2166,1,5,Sebastian Vettel VET,Ferrari,61,2:01:22.118,25,2,5,Ferrari,53,21:50:07,1:50.069,165.659,1,5,Ferrari,13,20:28:04,29.172,29.172,1,5,Ferrari,1:43.885,1,5,Ferrari,1:46.017,1:44.743,1:43.885,14,1,5,Ferrari,1:45.682,,12,5,5,Ferrari,1:46.487,+0.345s,35,4,5,Ferrari,1:48.494,+0.499s,23,Singapore,2015,,
2167,1,5,Sebastian Vettel VET,Ferrari,61,2:01:22.118,25,2,5,Ferrari,53,21:50:07,1:50.069,165.659,2,5,Ferrari,37,21:17:26,29.273,58.445,1,5,Ferrari,1:43.885,1,5,Ferrari,1:46.017,1:44.743,1:43.885,14,1,5,Ferrari,1:45.682,,12,5,5,Ferrari,1:46.487,+0.345s,35,4,5,Ferrari,1:48.494,+0.499s,23,Singapore,2015,,
2168,2,3,Daniel Ricciardo RIC,Red Bull Racing Renault,61,+1.478s,18,1,3,Red Bull Racing Renault,52,21:48:20,1:50.041,165.701,1,3,Red Bull Racing Renault,13,20:28:10,31.307,31.307,2,3,Red Bull Racing Renault,1:44.428,2,3,Red Bull Racing Renault,1:46.166,1:45.291,1:44.428,17,4,3,Red Bull Racing Renault,1:46.359,+0.677s,14,3,3,Red Bull Racing Renault,1:46.256,+0.114s,29,3,3,Red Bull Racing Renault,1:48.331,+0.336s,21,Singapore,2015,,
2169,2,3,Daniel Ricciardo RIC,Red Bull Racing Renault,61,+1.478s,18,1,3,Red Bull Racing Renault,52,21:48:20,1:50.041,165.701,2,3,Red Bull Racing Renault,37,21:17:32,29.419,1:00.726,2,3,Red Bull Racing Renault,1:44.428,2,3,Red Bull Racing Renault,1:46.166,1:45.291,1:44.428,17,4,3,Red Bull Racing Renault,1:46.359,+0.677s,14,3,3,Red Bull Racing Renault,1:46.256,+0.114s,29,3,3,Red Bull Racing Renault,1:48.331,+0.336s,21,Singapore,2015,,
2170,3,7,Kimi Räikkönen RAI,Ferrari,61,+17.154s,15,5,7,Ferrari,48,21:41:03,1:50.341,165.251,1,7,Ferrari,13,20:28:15,30.031,30.031,3,7,Ferrari,1:44.667,3,7,Ferrari,1:46.467,1:45.140,1:44.667,17,2,7,Ferrari,1:46.132,+0.450s,12,2,7,Ferrari,1:46.181,+0.039s,34,5,7,Ferrari,1:48.785,+0.790s,20,Singapore,2015,,
2171,3,7,Kimi Räikkönen RAI,Ferrari,61,+17.154s,15,5,7,Ferrari,48,21:41:03,1:50.341,165.251,2,7,Ferrari,37,21:17:42,30.689,1:00.720,3,7,Ferrari,1:44.667,3,7,Ferrari,1:46.467,1:45.140,1:44.667,17,2,7,Ferrari,1:46.132,+0.450s,12,2,7,Ferrari,1:46.181,+0.039s,34,5,7,Ferrari,1:48.785,+0.790s,20,Singapore,2015,,
